Row Labels,Sum of SE
0.49400000983709-0.49500000983709,24.230679
0.49500000983709-0.49600000983709,23.785103
0.49600000983709-0.49700000983709,18.867248
0.49700000983709-0.49800000983709,24.874262
0.49800000983709-0.49900000983709,24.926239
0.49900000983709-0.50000000983709,26.971329
0.50000000983709-0.50100000983709,20.020838
0.50100000983709-0.50200000983709,23.06876
0.50200000983709-0.50300000983709,18.596212
0.50300000983709-0.50400000983709,18.127821
0.50400000983709-0.50500000983709,24.215339
0.50500000983709-0.50600000983709,21.736099
0.50600000983709-0.50700000983709,18.234364
0.50700000983709-0.50800000983709,22.838917
0.50800000983709-0.50900000983709,19.830811
0.50900000983709-0.51000000983709,22.421758
0.51000000983709-0.51100000983709,18.892419
0.51100000983709-0.51200000983709,22.509578
0.51200000983709-0.51300000983709,12.813919
0.51300000983709-0.51400000983709,16.945391
0.51400000983709-0.51500000983709,17.493941
0.51500000983709-0.51600000983709,17.00988
0.51600000983709-0.51700000983709,19.625045
0.51700000983709-0.51800000983709,20.698934
0.51800000983709-0.51900000983709,23.853485
0.51900000983709-0.52000000983709,12.467578
0.52000000983709-0.52100000983709,19.778375
0.52100000983709-0.52200000983709,18.775322
0.52200000983709-0.52300000983709,16.718846
0.52300000983709-0.52400000983709,16.751429
0.52400000983709-0.52500000983709,18.883295
0.52500000983709-0.52600000983709,21.545374
0.52600000983709-0.52700000983709,17.901565
0.52700000983709-0.52800000983709,18.462207
0.52800000983709-0.52900000983709,19.030503
0.52900000983709-0.53000000983709,11.644998
0.53000000983709-0.53100000983709,22.281682
0.53100000983709-0.53200000983709,18.071008
0.53200000983709-0.53300000983709,20.234118
0.53300000983709-0.53400000983709,17.071304
0.53400000983709-0.53500000983709,15.50131
0.53500000983709-0.53600000983709,16.602023
0.53600000983709-0.53700000983709,11.269918
0.53700000983709-0.53800000983709,10.751148
0.53800000983709-0.53900000983709,9.693398
0.53900000983709-0.54000000983709,15.108811
0.54000000983709-0.54100000983709,12.97112
0.54100000983709-0.54200000983709,10.828643
0.54200000983709-0.54300000983709,16.816111
0.54300000983709-0.54400000983709,16.307208
0.54400000983709-0.54500000983709,15.247069
0.54500000983709-0.54600000983709,12.001417
0.54600000983709-0.54700000983709,11.476332
0.54700000983709-0.54800000983709,15.328584
0.54800000983709-0.54900000983709,13.71202
0.54900000983709-0.55000000983709,8.241458
0.55000000983709-0.55100000983709,11.560632
0.55100000983709-0.55200000983709,14.337634
0.55200000983709-0.55300000983709,16.576538
0.55300000983709-0.55400000983709,16.609495
0.55400000983709-0.55500000983709,11.645836
0.55500000983709-0.55600000983709,8.332003
0.55600000983709-0.55700000983709,17.252971
0.55700000983709-0.55800000983709,13.379074
0.55800000983709-0.55900000983709,12.848828
0.55900000983709-0.56000000983709,8.952614
0.56000000983709-0.56100000983709,10.089214
0.56100000983709-0.56200000983709,6.177358
0.56200000983709-0.56300000983709,13.499756
0.56300000983709-0.56400000983709,9.58108
0.56400000983709-0.56500000983709,13.547465
0.56500000983709-0.56600000983709,6.787471
0.56600000983709-0.56700000983709,11.894358
0.56700000983709-0.56800000983709,15.322682
0.56800000983709-0.56900000983709,7.959175
0.56900000983709-0.57000000983709,9.110525
0.57000000983709-0.57100000983709,16.544163
0.57100000983709-0.57200000983709,11.428193
0.57200000983709-0.57300000983709,8.587642
0.57300000983709-0.57400000983709,7.456491
0.57400000983709-0.57500000983709,12.637686
0.57500000983709-0.57600000983709,13.809081
0.57600000983709-0.57700000983709,9.222332
0.57700000983709-0.57800000983709,17.899987
0.57800000983709-0.57900000983709,9.256724
0.57900000983709-0.58000000983709,9.269935
0.58000000983709-0.58100000983709,11.610083
0.58100000983709-0.58200000983709,12.793521
0.58200000983709-0.58300000983709,12.816112
0.58300000983709-0.58400000983709,12.2533
0.58400000983709-0.58500000983709,9.35056
0.58500000983709-0.58600000983709,14.636942
0.58600000983709-0.58700000983709,19.944239
0.58700000983709-0.58800000983709,9.987254
0.58800000983709-0.58900000983709,9.416678
0.58900000983709-0.59000000983709,12.379273
0.59000000983709-0.59100000983709,8.859763
0.59100000983709-0.59200000983709,15.378155
0.59200000983709-0.59300000983709,10.665902
0.59300000983709-0.59400000983709,10.682588
0.59400000983709-0.59500000983709,10.701772
0.59500000983709-0.59600000983709,4.763786
0.59600000983709-0.59700000983709,8.352317
0.59700000983709-0.59800000983709,11.353583
0.59800000983709-0.59900000983709,13.766505
0.59900000983709-0.60000000983709,9.590821
0.60000000983709-0.60100000983709,12.612588
0.60100000983709-0.60200000983709,13.231117
0.60200000983709-0.60300000983709,12.048596
0.60300000983709-0.60400000983709,13.877448
0.60400000983709-0.60500000983709,15.110278
0.60500000983709-0.60600000983709,7.8709
0.60600000983709-0.60700000983709,12.735903
0.60700000983709-0.60800000983709,12.150679
0.60800000983709-0.60900000983709,9.736985
0.60900000983709-0.61000000983709,12.191159
0.61000000983709-0.61100000983709,11.599992
0.61100000983709-0.61200000983709,11.619682
0.61200000983709-0.61300000983709,9.798594
0.61300000983709-0.61400000983709,12.882021
0.61400000983709-0.61500000983709,11.060909
0.61500000983709-0.61600000983709,8.001463
0.61600000983709-0.61700000983709,11.714376
0.61700000983709-0.61800000983709,9.881382
0.61800000983709-0.61900000983709,16.701534
0.61900000983709-0.62000000983709,11.770981
0.62000000983709-0.62100000983709,11.168479
0.62100000983709-0.62200000983709,4.97222
0.62200000983709-0.62300000983709,9.959844
0.62300000983709-0.62400000983709,9.354246
0.62400000983709-0.62500000983709,10.616876
0.62500000983709-0.62600000983709,12.509271
0.62600000983709-0.62700000983709,13.15596
0.62700000983709-0.62800000983709,11.295257
0.62800000983709-0.62900000983709,9.427536
0.62900000983709-0.63000000983709,6.924042
0.63000000983709-0.63100000983709,11.346437
0.63100000983709-0.63200000983709,6.946763
0.63200000983709-0.63300000983709,7.589485
0.63300000983709-0.63400000983709,13.936092
0.63400000983709-0.63500000983709,10.786127
0.63500000983709-0.63600000983709,8.896987
0.63600000983709-0.63700000983709,10.820959
0.63700000983709-0.63800000983709,12.74929
0.63800000983709-0.63900000983709,7.023176
0.63900000983709-0.64000000983709,7.034325
0.64000000983709-0.64100000983709,12.170925
0.64100000983709-0.64200000983709,8.338244
0.64200000983709-0.64300000983709,10.920401
0.64300000983709-0.64400000983709,10.938069
0.64400000983709-0.64500000983709,13.537463
0.64500000983709-0.64600000983709,7.100182
0.64600000983709-0.64700000983709,11.636809
0.64700000983709-0.64800000983709,15.540383
0.64800000983709-0.64900000983709,11.674081
0.64900000983709-0.65000000983709,9.091853
0.65000000983709-0.65100000983709,9.105048
0.65100000983709-0.65200000983709,14.332765
0.65200000983709-0.65300000983709,16.314134
0.65300000983709-0.65400000983709,13.723776
0.65400000983709-0.65500000983709,11.126317
0.65500000983709-0.65600000983709,11.796916
0.65600000983709-0.65700000983709,7.877239
0.65700000983709-0.65800000983709,9.203944
0.65800000983709-0.65900000983709,9.87536
0.65900000983709-0.66000000983709,7.252226
0.66000000983709-0.66100000983709,9.247932
0.66100000983709-0.66200000983709,9.922155
0.66200000983709-0.66300000983709,9.937179
0.66300000983709-0.66400000983709,5.970968
0.66400000983709-0.66500000983709,11.296904
0.66500000983709-0.66600000983709,15.309414
0.66600000983709-0.66700000983709,11.997275
0.66700000983709-0.66800000983709,11.346329
0.66800000983709-0.66900000983709,9.358263
0.66900000983709-0.67000000983709,8.034943
0.67000000983709-0.67100000983709,8.717503
0.67100000983709-0.67200000983709,8.730106
0.67200000983709-0.67300000983709,11.431549
0.67300000983709-0.67400000983709,13.471066
0.67400000983709-0.67500000983709,8.092344
0.67500000983709-0.67600000983709,9.457515
0.67600000983709-0.67700000983709,8.79573
0.67700000983709-0.67800000983709,10.837572
0.67800000983709-0.67900000983709,6.106712
0.67900000983709-0.68000000983709,8.154649
0.68000000983709-0.68100000983709,12.250759
0.68100000983709-0.68200000983709,12.265269
0.68200000983709-0.68300000983709,9.554423
0.68300000983709-0.68400000983709,6.834196
0.68400000983709-0.68500000983709,8.213298
0.68500000983709-0.68600000983709,6.855861
0.68600000983709-0.68700000983709,9.611945
0.68700000983709-0.68800000983709,6.874313
0.68800000983709-0.68900000983709,10.328264
0.68900000983709-0.69000000983709,12.410494
0.69000000983709-0.69100000983709,14.500472
0.69100000983709-0.69200000983709,9.681242
0.69200000983709-0.69300000983709,6.233068
0.69300000983709-0.69400000983709,6.934491
0.69400000983709-0.69500000983709,9.72224
0.69500000983709-0.69600000983709,6.260597
0.69600000983709-0.69700000983709,9.749253
0.69700000983709-0.69800000983709,9.766418
0.69800000983709-0.69900000983709,8.382204
0.69900000983709-0.70000000983709,6.993234
0.70000000983709-0.70100000983709,11.206473
0.70100000983709-0.70200000983709,8.419007
0.70200000983709-0.70300000983709,16.157984
0.70300000983709-0.70400000983709,14.773296
0.70400000983709-0.70500000983709,7.748677
0.70500000983709-0.70600000983709,6.350895
0.70600000983709-0.70700000983709,7.064704
0.70700000983709-0.70800000983709,14.857318
0.70800000983709-0.70900000983709,8.502222
0.70900000983709-0.71000000983709,8.514602
0.71000000983709-0.71100000983709,5.684929
0.71100000983709-0.71200000983709,10.671834
0.71200000983709-0.71300000983709,4.987218
0.71300000983709-0.71400000983709,7.134072
0.71400000983709-0.71500000983709,9.288285
0.71500000983709-0.71600000983709,7.869444
0.71600000983709-0.71700000983709,6.447593
0.71700000983709-0.71800000983709,9.326642
0.71800000983709-0.71900000983709,10.777369
0.71900000983709-0.72000000983709,5.755548
0.72000000983709-0.72100000983709,7.927077
0.72100000983709-0.72200000983709,8.659466
0.72200000983709-0.72300000983709,9.395142
0.72300000983709-0.72400000983709,6.512004
0.72400000983709-0.72500000983709,11.591618
0.72500000983709-0.72600000983709,8.705982
0.72600000983709-0.72700000983709,12.349647
0.72700000983709-0.72800000983709,7.275823
0.72800000983709-0.72900000983709,8.013023
0.72900000983709-0.73000000983709,8.024191
0.73000000983709-0.73100000983709,5.843836
0.73100000983709-0.73200000983709,8.777254
0.73200000983709-0.73300000983709,5.128466
0.73300000983709-0.73400000983709,9.536161
0.73400000983709-0.73500000983709,6.608488
0.73500000983709-0.73600000983709,9.560824
0.73600000983709-0.73700000983709,5.156175
0.73700000983709-0.73800000983709,10.326238
0.73800000983709-0.73900000983709,8.123052
0.73900000983709-0.74000000983709,8.874306
0.74000000983709-0.74100000983709,11.846035
0.74100000983709-0.74200000983709,12.606242
0.74200000983709-0.74300000983709,4.455441
0.74300000983709-0.74400000983709,6.690772
0.74400000983709-0.74500000983709,9.678394
0.74500000983709-0.74600000983709,6.70897
0.74600000983709-0.74700000983709,10.450874
0.74700000983709-0.74800000983709,8.971373
0.74800000983709-0.74900000983709,5.239881
0.74900000983709-0.75000000983709,3.74706
0.75000000983709-0.75100000983709,5.253141
0.75100000983709-0.75200000983709,9.769451
0.75200000983709-0.75300000983709,9.029508
0.75300000983709-0.75400000983709,3.7669
0.75400000983709-0.75500000983709,8.300705
0.75500000983709-0.75600000983709,8.309165
0.75600000983709-0.75700000983709,8.32209
0.75700000983709-0.75800000983709,9.091965
0.75800000983709-0.75900000983709,6.067987
0.75900000983709-0.76000000983709,6.076724
0.76000000983709-0.76100000983709,11.408396
0.76100000983709-0.76200000983709,7.614577
0.76200000983709-0.76300000983709,6.863301
0.76300000983709-0.76400000983709,8.400668
0.76400000983709-0.76500000983709,9.175101
0.76500000983709-0.76600000983709,8.420467
0.76600000983709-0.76700000983709,6.130945
0.76700000983709-0.76800000983709,3.837451
0.76800000983709-0.76900000983709,9.222078
0.76900000983709-0.77000000983709,14.620508
0.77000000983709-0.77100000983709,9.248368
0.77100000983709-0.77200000983709,3.086651
0.77200000983709-0.77300000983709,4.635265
0.77300000983709-0.77400000983709,9.280214
0.77400000983709-0.77500000983709,12.393446
0.77500000983709-0.77600000983709,10.080448
0.77600000983709-0.77700000983709,13.201519
0.77700000983709-0.77800000983709,5.44284
0.77800000983709-0.77900000983709,8.563496
0.77900000983709-0.78000000983709,10.134294
0.78000000983709-0.78100000983709,7.024084
0.78100000983709-0.78200000983709,2.344378
0.78200000983709-0.78300000983709,7.042336
0.78300000983709-0.78400000983709,8.617027
0.78400000983709-0.78500000983709,2.353146
0.78500000983709-0.78600000983709,4.714345
0.78600000983709-0.78700000983709,5.506822
0.78700000983709-0.78800000983709,6.300581
0.78800000983709-0.78900000983709,8.673695
0.78900000983709-0.79000000983709,10.262332
0.79000000983709-0.79100000983709,8.695417
0.79100000983709-0.79200000983709,11.081075
0.79200000983709-0.79300000983709,8.717637
0.79300000983709-0.79400000983709,5.555007
0.79400000983709-0.79500000983709,3.179223
0.79500000983709-0.79600000983709,8.75058
0.79600000983709-0.79700000983709,4.77953
0.79700000983709-0.79800000983709,9.568832
0.79800000983709-0.79900000983709,6.3872
0.79900000983709-0.80000000983709,8.795112
0.80000000983709-0.80100000983709,4.002372
0.80100000983709-0.80200000983709,11.221262
0.80200000983709-0.80300000983709,5.616142
0.80300000983709-0.80400000983709,8.838669
0.80400000983709-0.80500000983709,7.240276
0.80500000983709-0.80600000983709,5.639534
0.80600000983709-0.80700000983709,9.677272
0.80700000983709-0.80800000983709,8.075387
0.80800000983709-0.80900000983709,4.041847
0.80900000983709-0.81000000983709,8.094587
0.81000000983709-0.81100000983709,6.484565
0.81100000983709-0.81200000983709,7.304947
0.81200000983709-0.81300000983709,13.812614
0.81300000983709-0.81400000983709,7.322507
0.81400000983709-0.81500000983709,5.702017
0.81500000983709-0.81600000983709,8.971809
0.81600000983709-0.81700000983709,3.265555
0.81700000983709-0.81800000983709,6.540076
0.81800000983709-0.81900000983709,11.458737
0.81900000983709-0.82000000983709,7.374118
0.82000000983709-0.82100000983709,6.564145
0.82100000983709-0.82200000983709,7.392561
0.82200000983709-0.82300000983709,4.933537
0.82300000983709-0.82400000983709,6.588275
0.82400000983709-0.82500000983709,7.419521
0.82500000983709-0.82600000983709,4.952819
0.82600000983709-0.82700000983709,9.09233
0.82700000983709-0.82800000983709,10.757109
0.82800000983709-0.82900000983709,6.628745
0.82900000983709-0.83000000983709,11.613434
0.83000000983709-0.83100000983709,9.965558
0.83100000983709-0.83200000983709,4.15732
0.83200000983709-0.83300000983709,5.827993
0.83300000983709-0.83400000983709,10.832599
0.83400000983709-0.83500000983709,5.840976
0.83500000983709-0.83600000983709,5.014071
0.83600000983709-0.83700000983709,6.692011
0.83700000983709-0.83800000983709,9.213739
0.83800000983709-0.83900000983709,7.546202
0.83900000983709-0.84000000983709,7.555717
0.84000000983709-0.84100000983709,10.086646
0.84100000983709-0.84200000983709,9.255747
0.84200000983709-0.84300000983709,6.739692
0.84300000983709-0.84400000983709,7.590856
0.84400000983709-0.84500000983709,7.599708
0.84500000983709-0.84600000983709,5.918416
0.84600000983709-0.84700000983709,6.771491
0.84700000983709-0.84800000983709,8.473897
0.84800000983709-0.84900000983709,6.789829
0.84900000983709-0.85000000983709,11.891125
0.85000000983709-0.85100000983709,5.101679
0.85100000983709-0.85200000983709,5.960334
0.85200000983709-0.85300000983709,10.229752
0.85300000983709-0.85400000983709,8.534451
0.85400000983709-0.85500000983709,9.399482
0.85500000983709-0.85600000983709,9.411751
0.85600000983709-0.85700000983709,9.42293
0.85700000983709-0.85800000983709,5.143624
0.85800000983709-0.85900000983709,9.442742
0.85900000983709-0.86000000983709,10.314063
0.86000000983709-0.86100000983709,6.884166
0.86100000983709-0.86200000983709,6.031016
0.86200000983709-0.86300000983709,7.763216
0.86300000983709-0.86400000983709,11.226006
0.86400000983709-0.86500000983709,10.374452
0.86500000983709-0.86600000983709,6.058635
0.86600000983709-0.86700000983709,7.798009
0.86700000983709-0.86800000983709,7.806847
0.86800000983709-0.86900000983709,10.421009
0.86900000983709-0.87000000983709,12.174685
0.87000000983709-0.87100000983709,9.575198
0.87100000983709-0.87200000983709,5.228333
0.87200000983709-0.87300000983709,4.362502
0.87300000983709-0.87400000983709,7.860053
0.87400000983709-0.87500000983709,6.121972
0.87500000983709-0.87600000983709,9.630456
0.87600000983709-0.87700000983709,8.763832
0.87700000983709-0.87800000983709,6.142424
0.87800000983709-0.87900000983709,5.271946
0.87900000983709-0.88000000983709,7.915731
0.88000000983709-0.88100000983709,7.043814
0.88100000983709-0.88200000983709,7.933094
0.88200000983709-0.88300000983709,5.2942
0.88300000983709-0.88400000983709,6.184093
0.88400000983709-0.88500000983709,6.191802
0.88500000983709-0.88600000983709,11.513392
0.88600000983709-0.88700000983709,5.32022
0.88700000983709-0.88800000983709,8.874054
0.88800000983709-0.88900000983709,7.997213
0.88900000983709-0.89000000983709,6.226688
0.89000000983709-0.89100000983709,6.232701
0.89100000983709-0.89200000983709,4.456693
0.89200000983709-0.89300000983709,9.818345
0.89300000983709-0.89400000983709,7.147494
0.89400000983709-0.89500000983709,6.260881
0.89500000983709-0.89600000983709,4.477152
0.89600000983709-0.89700000983709,7.171921
0.89700000983709-0.89800000983709,6.28194
0.89800000983709-0.89900000983709,7.189089
0.89900000983709-0.90000000983709,5.396339
0.90000000983709-0.90100000983709,5.402413
0.90100000983709-0.90200000983709,7.211551
0.90200000983709-0.90300000983709,8.121818
0.90300000983709-0.90400000983709,2.711253
0.90400000983709-0.90500000983709,9.947669
0.90500000983709-0.90600000983709,6.337688
0.90600000983709-0.90700000983709,9.066957
0.90700000983709-0.90800000983709,5.445805
0.90800000983709-0.90900000983709,7.267369
0.90900000983709-0.91000000983709,7.275724
0.91000000983709-0.91100000983709,5.463096
0.91100000983709-0.91200000983709,5.469374
0.91200000983709-0.91300000983709,6.387501
0.91300000983709-0.91400000983709,10.051117
0.91400000983709-0.91500000983709,8.230049
0.91500000983709-0.91600000983709,5.492372
0.91600000983709-0.91700000983709,3.666479
0.91700000983709-0.91800000983709,8.256449
0.91800000983709-0.91900000983709,5.511375
0.91900000983709-0.92000000983709,7.357459
0.92000000983709-0.92100000983709,9.204959
0.92100000983709-0.92200000983709,5.528005
0.92200000983709-0.92300000983709,7.379563
0.92300000983709-0.92400000983709,6.465398
0.92400000983709-0.92500000983709,5.546311
0.92500000983709-0.92600000983709,7.404272
0.92600000983709-0.92700000983709,8.338954
0.92700000983709-0.92800000983709,6.493394
0.92800000983709-0.92900000983709,2.7858
0.92900000983709-0.93000000983709,4.647754
0.93000000983709-0.93100000983709,10.23481
0.93100000983709-0.93200000983709,7.453559
0.93200000983709-0.93300000983709,4.661816
0.93300000983709-0.93400000983709,5.601749
0.93400000983709-0.93500000983709,5.607537
0.93500000983709-0.93600000983709,13.096083
0.93600000983709-0.93700000983709,6.553925
0.93700000983709-0.93800000983709,9.375253
0.93800000983709-0.93900000983709,6.568825
0.93900000983709-0.94000000983709,2.819415
0.94000000983709-0.94100000983709,8.465241
0.94100000983709-0.94200000983709,8.473401
0.94200000983709-0.94300000983709,4.7125
0.94300000983709-0.94400000983709,8.491121
0.94400000983709-0.94500000983709,2.833381
0.94500000983709-0.94600000983709,13.236055
0.94600000983709-0.94700000983709,5.679001
0.94700000983709-0.94800000983709,6.631815
0.94800000983709-0.94900000983709,3.794448
0.94900000983709-0.95000000983709,6.646511
0.95000000983709-0.95100000983709,7.60406
0.95100000983709-0.95200000983709,9.515696
0.95200000983709-0.95300000983709,5.714499
0.95300000983709-0.95400000983709,5.721413
0.95400000983709-0.95500000983709,5.72796
0.95500000983709-0.95600000983709,4.77748
0.95600000983709-0.95700000983709,8.607421
0.95700000983709-0.95800000983709,7.658886
0.95800000983709-0.95900000983709,6.709198
0.95900000983709-0.96000000983709,5.757383
0.96000000983709-0.96100000983709,7.683882
0.96100000983709-0.96200000983709,5.767736
0.96200000983709-0.96300000983709,6.737672
0.96300000983709-0.96400000983709,3.854955
0.96400000983709-0.96500000983709,6.751868
0.96500000983709-0.96600000983709,4.827165
0.96600000983709-0.96700000983709,9.665199
0.96700000983709-0.96800000983709,6.770746
0.96800000983709-0.96900000983709,6.780324
0.96900000983709-0.97000000983709,17.448844
0.97000000983709-0.97100000983709,7.76424
0.97100000983709-0.97200000983709,8.743077
0.97200000983709-0.97300000983709,10.697391
0.97300000983709-0.97400000983709,4.867119
0.97400000983709-0.97500000983709,4.872229
0.97500000983709-0.97600000983709,5.853528
0.97600000983709-0.97700000983709,2.92993
0.97700000983709-0.97800000983709,6.842861
0.97800000983709-0.97900000983709,8.807376
0.97900000983709-0.98000000983709,3.918358
0.98000000983709-0.98100000983709,5.882238
0.98100000983709-0.98200000983709,5.88882
0.98200000983709-0.98300000983709,5.894559
0.98300000983709-0.98400000983709,7.869103
0.98400000983709-0.98500000983709,9.843853
0.98500000983709-0.98600000983709,1.970256
0.98600000983709-0.98700000983709,6.90474
0.98700000983709-0.98800000983709,7.899165
0.98800000983709-0.98900000983709,3.954442
0.98900000983709-0.99000000983709,10.885065
0.99000000983709-0.99100000983709,5.944125
0.99100000983709-0.99200000983709,2.97366
0.99200000983709-0.99300000983709,6.946183
0.99300000983709-0.99400000983709,9.935238
0.99400000983709-0.99500000983709,6.961429
0.99500000983709-0.99600000983709,7.964644
0.99600000983709-0.99700000983709,8.967478
0.99700000983709-0.99800000983709,8.976267
0.99800000983709-0.99900000983709,9.985328
0.99900000983709-1.00000000983709,5.996808
>1.00000000983709,825743.0823
Grand Total,869208.1118
